English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
bridge,桥,[sound:596e15c0159c7d36_uk.mp3],[sound:44b171fd34c6cb3d_us.mp3],"We can go to the <span style=""color:red;""><b>bridge</b></span> today.",今天我们可以去桥上。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
brown,棕色的,[sound:0df6f76031893bf8_uk.mp3],[sound:931feafe824b9336_us.mp3],"This is a <span style=""color:red;""><b>brown</b></span> one.",这是棕色的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
burger,汉堡,[sound:f5cace7fa3665d55_uk.mp3],[sound:1378edd23fb496a5_us.mp3],"I like eating <span style=""color:red;""><b>burger</b></span> for lunch.",我午餐喜欢吃汉堡。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus,公共汽车,[sound:08f8268ad20a13ad_uk.mp3],[sound:330839feb343f371_us.mp3],"I can see a <span style=""color:red;""><b>bus</b></span> here.",我可以看到这里有一辆公共汽车。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus station,公车站,[sound:47461b8913a38afd_uk.mp3],[sound:0ab1d019ba8edb7a_us.mp3],"We are waiting at the <span style=""color:red;""><b>bus station</b></span>.",我们在公交车站等车。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus stop,巴士站,[sound:0179023c8f1cea90_uk.mp3],[sound:72d84c3712ffbf35_us.mp3],"The children are standing at the <span style=""color:red;""><b>bus stop</b></span>.",孩子们站在公交车站。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
but,但,[sound:ed4a67875ed2db8c_uk.mp3],[sound:db82f2017f04b77f_us.mp3],"I can see a <span style=""color:red;""><b>but</b></span> here.",我可以在这里看到一个但是。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
butterfly,蝴蝶,[sound:36aeefe70787e532_uk.mp3],[sound:c312879f076a8417_us.mp3],"I can see a <span style=""color:red;""><b>butterfly</b></span> at the zoo.",我可以在动物园看到一只蝴蝶。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
buy,买,[sound:99bbfe46f673300d_uk.mp3],[sound:a5836a67d28ecb10_us.mp3],"I can <span style=""color:red;""><b>buy</b></span> it after school.",放学后可以买。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
by,经过,[sound:552f7fa373ab83e0_uk.mp3],[sound:952d55f3d3fa7876_us.mp3],"I can see a <span style=""color:red;""><b>by</b></span> here.",我可以看到这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
bye,再见,[sound:51dceb186e0738a0_uk.mp3],[sound:2ee69efcbf04c34d_us.mp3],"I can see a <span style=""color:red;""><b>bye</b></span> here.",我可以在这里看到再见。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
café,咖啡店,[sound:5499281bfee41979_uk.mp3],[sound:bdab1cda4d8c0ec3_us.mp3],"We can go to the <span style=""color:red;""><b>café</b></span> today.",今天我们可以去咖啡馆。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
cake,蛋糕,[sound:658c9a152f4085af_uk.mp3],[sound:c621dc8ca549e47f_us.mp3],"I like eating <span style=""color:red;""><b>cake</b></span> for lunch.",我午餐喜欢吃蛋糕。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
calendar,日历,[sound:c1599ca10eee133e_uk.mp3],[sound:d8d5e4e425d8e290_us.mp3],"I can see a <span style=""color:red;""><b>calendar</b></span> here.",我可以在这里看到日历。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
camel,骆驼,[sound:e9c960cb3902ee10_uk.mp3],[sound:45f7c72423ab65d9_us.mp3],"I can see a <span style=""color:red;""><b>camel</b></span> at the zoo.",我可以在动物园看到骆驼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
can,能,[sound:fb3c891b3e5e68ec_uk.mp3],[sound:12cd7eb91080baa5_us.mp3],"I <span style=""color:red;""><b>can</b></span> see a can here.",我在这里看到一个罐头。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
candy (UK sweet(s)),糖果）,[sound:331857ddb29c8a0f_uk.mp3],[sound:192cb498228198d8_us.mp3],"We can use ""<span style=""color:red;""><b>candy)</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“candy)”。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
car,车,[sound:40d796ef7be688c5_uk.mp3],[sound:5e47b37c40bb6912_us.mp3],"I can see a <span style=""color:red;""><b>car</b></span> here.",我可以在这里看到一辆车。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
car park,停车场,[sound:cfe664578011c15a_uk.mp3],[sound:f235e248a2d159ef_us.mp3],"We can use ""<span style=""color:red;""><b>car park</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“停车场”。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
carrot,胡萝卜,[sound:a7929d7a3058b270_uk.mp3],[sound:605a400d57faac20_us.mp3],"I like eating <span style=""color:red;""><b>carrot</b></span> for lunch.",我午餐喜欢吃胡萝卜。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
carry,携带,[sound:88f474927315611c_uk.mp3],[sound:157a2dfa9805a2b0_us.mp3],"I can <span style=""color:red;""><b>carry</b></span> it after school.",放学后我可以带着它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
castle,城堡,[sound:0bb744726a031997_uk.mp3],[sound:155e0a43fdd25df3_us.mp3],"We can go to the <span style=""color:red;""><b>castle</b></span> today.",今天我们可以去城堡。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
cat,猫,[sound:581a821e6faaf14d_uk.mp3],[sound:2a77692e0b32ead2_us.mp3],"I can see a <span style=""color:red;""><b>cat</b></span> at the zoo.",我可以在动物园看到一只猫。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
