English,Chinese,Audio,Level,Source
a.m. (for time),是。,[sound:85a0ae0c49fe92b6.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
across,穿过,[sound:c55704728716728d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
act,行为,[sound:316c9c3ed45a83ee.mp3],core,Cambridge English A2 Flyers word list (official PDF)
actor,演员,[sound:8e62561c3ac6d3fb.mp3],core,Cambridge English A2 Flyers word list (official PDF)
actually,实际上,[sound:7ddf80803ddb70e6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
adventure,冒险,[sound:7cb4872d41405353.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
after,后,[sound:632a2406bbcbcd55.mp3],core,Cambridge English A2 Flyers word list (official PDF)
ago,前,[sound:6d0a578ca2f2c0e7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
agree,同意,[sound:6a6334b478289b4f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
air,空气,[sound:3c4588116394d216.mp3],core,Cambridge English A2 Flyers word list (official PDF)
airport,飞机场,[sound:4a776428d7409fc7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
alone,独自的,[sound:c42bbd90740264d1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
already,已经,[sound:1ebf4e55c604b92c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
also,还,[sound:07ccfe360dce69b8.mp3],core,Cambridge English A2 Flyers word list (official PDF)
amazing,惊人的,[sound:922c8158165d7c65.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ambulance,救护车,[sound:e0d0f09d7ff710fc.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anyone,任何人,[sound:b1f8e4a5ec893d89.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anything,任何事物,[sound:f0e166dc34d14d6c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anywhere,任何地方,[sound:419107f1667df41b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
appear,出现,[sound:fb67f8d67111c4f8.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
April,四月,[sound:3fcf026bbfffb63f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
arrive,到达,[sound:a2f26a443b13754a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
art,艺术,[sound:2c5f64ab07ccb3e4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
artist,艺术家,[sound:0441f9e2d94c39a7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
